    # Energy          Ni          Cr
    15.18351   -17.55856    -1.38549
    15.27751   -14.27700    -1.13499
    15.37151   -12.65480    -1.07535
    15.46551   -13.07237    -1.03468
    15.55851   -14.38483    -0.99464
    15.65251   -14.95952    -1.06634
    15.74651   -14.80314    -1.12855
    15.84051   -14.64048    -1.17452
    15.93451   -12.81123    -1.00290
    16.02751   -15.42185    -1.15868
    16.12151   -14.58246    -1.09291
    16.21551   -15.73111    -1.13066
    16.30951   -14.18304    -1.13466
    16.40351    -7.52528    -0.62731
    16.49651    -5.35251    -0.37997
    16.59051    -4.58295    -0.33405
    16.68451    -1.50072    -0.11881
    16.77851     0.02417     0.00048
    16.87251     0.04193     0.00337
    16.96551     0.00146     0.00012
    17.05951     0.00001     0.00000
    17.15351     0.00000     0.00000
    17.24751     0.00000     0.00000
    17.34151     0.00000     0.00000
    17.43451     0.00000     0.00000
    17.52851     0.00000     0.00000
    17.62251     0.00000     0.00000
    17.71651     0.00000     0.00000
    17.81051     0.00000     0.00000
    17.90351     0.00000     0.00000
